2024-12-25 17:13:34 - Root server query: 19.1.168.192.in-addr.arpa, type: PTR
2024-12-25 17:13:34 - Root server query: google.com.home, type: A
2024-12-25 17:13:36 - Root server query: google.com.home, type: AAAA
2024-12-25 17:13:36 - Root server query: google.com, type: A
2024-12-25 17:13:36 - TLD server query: google.com, type: A
2024-12-25 17:13:36 - Auth server query: google.com, type: A
2024-12-25 17:13:37 - Root server query: google.com, type: AAAA
2024-12-25 17:13:37 - TLD server query: google.com, type: AAAA
2024-12-25 17:13:37 - Auth server query: google.com, type: AAAA
2024-12-25 17:14:33 - Root server query: 19.1.168.192.in-addr.arpa, type: PTR
2024-12-25 17:14:33 - Root server query: google.com.home, type: MX
2024-12-25 17:14:33 - Root server query: google.com, type: MX
2024-12-25 17:14:33 - TLD server query: google.com, type: MX
2024-12-25 17:14:33 - Auth server query: google.com, type: MX
2024-12-25 17:15:00 - Root server query: 19.1.168.192.in-addr.arpa, type: PTR
2024-12-25 17:15:00 - Root server query: googlee.com.home, type: MX
2024-12-25 17:15:00 - Root server query: googlee.com, type: MX
2024-12-25 17:15:00 - TLD server query: googlee.com, type: MX
